numeric_id_1,numeric_id_2
141493,35655
141493,58379
141493,154805
141493,62727
141493,97291
141493,28073
141493,67856
141493,100124
141493,2719
141493,146151
141493,96309
141493,127721
141493,129564
141493,152481
141493,104201
141493,2755
141493,23053
141493,144342
141493,33631
141493,15881
141493,4649
141493,20811
141493,105394
141493,103500
141493,91400
141493,83027
141493,80037
141493,77316
141493,69373
141493,55505
141493,96525
141493,163487
141493,6212
141493,16226
141493,11424
141493,99674
141493,80020
141493,63000
141493,75162
141493,111252
141493,23394
141493,7115
141493,17553
141493,85906
141493,12066
141493,49336
141493,51652
141493,531
141493,73580
141493,78176
141493,27971
141493,138305
141493,7484
141493,84905
141493,52205
141493,110491
141493,67900
141493,20108
141493,149150
141493,142565
141493,137945
141493,144078
141493,86757
141493,162808
141493,18310
141493,101021
141493,89262
141493,32261
141493,140650
141493,65551
141493,69317
141493,125444
141493,122186
141493,85567
141493,143890
141493,109668
141493,133388
141493,22950
141493,36881
141493,140117
141493,66933
141493,150079
141493,148757
141493,46977
141493,21753
141493,63936
141493,79615
141493,48184
141493,4450
141493,62798
141493,19388
141493,121880
141493,50592
141493,142502
141493,136561
141493,152079
141493,99423
141493,782
141493,113098
141493,52338
141493,137126
141493,120774
141493,92439
141493,125269
141493,164441
141493,31362
141493,99829
141493,116920
141493,114395
141493,110249
141493,30851
141493,30852
141493,119259
141493,52011
141493,97006
141493,166230
141493,145911
141493,11628
141493,162270
141493,69584
141493,163428
141493,124061
141493,13233
141493,67478
141493,46550
141493,6513
141493,119292
141493,71355
141493,17114
141493,47917
141493,55343
141493,43534
141493,158608
141493,88758
141493,97471
141493,4774
141493,90139
141493,22705
141493,45596
141493,166419
141493,41015
141493,27248
141493,76279
141493,6190
141493,57234
141493,12521
141493,39092
141493,34750
141493,16162
141493,157006
141493,92614
141493,92339
141493,51665
141493,14648
141493,44087
141493,62741
141493,8433
141493,136670
141493,82672
141493,43133
141493,39951
141493,30092
141493,12612
141493,114483
141493,158691
141493,113201
141493,100771
141493,7950
141493,151799
141493,153763
141493,95505
141493,117377
141493,151453
141493,122526
141493,50881
141493,70078
141493,71605
141493,156481
141493,55748
141493,160823
141493,26024
141493,156357
141493,7991
141493,66451
141493,119709
141493,30036
141493,25256
141493,98676
141493,68997
141493,44747
